#enquiry_uid|original_customer_num|customer_type|enquiry_date|enquiry_month|enquiry_year|enquiry_week|enquiry_quarter|enquiry_type|enquiry_reason|channel|sales_type|close_reason|close_date|brand_of_interest|series_of_interest|body_style_of_interest|model_of_interest|enquiry_web_description|finance_product|finance_customer|finance_interest|enquiry_campaign|enquiry_source|enquiry_status|enquiry_dealer|region|comments|sale_vehicle_brand|sale_vehicle_model|sale_vehicle_shape|sale_vehicle_saletype|sale_vehicle_price|sale_dealerid|sale_uid|fo_vehicle_brand|fo_vehicle_model|fo_vehicle_shape|fo_uid|sale_bodyshape|sale_model_code|sale_date|days_between_sale_and_enquiry|sale_registration|sale_option_string|sale_and_enquiry_dealer_same_flg|sale_and_enquiry_bodyshape_same_flg|sale_and_enquiry_model_same_flg|sale_and_enquiry_registration_same_flg|enquiry_model_code|enquiry_construction_series|enquiry_fuel_type|sale_fuel_type|sale_construction_series|sale_with_fs_contract
1-1SHKMGDI|1-1PM7B1VG-1|Conquest|23/10/2023 22:07:56|10|2023|43|4|Retail|Approved Used|Central Website|Used car|Retailer Closed|01/11/2023 15:32:31|BMW|1 Series|5-door Sports hatch|BMW 118i M Sport|BMW 1 Series 5-door Sports hatch 118i M Sport||Non Finance|N||I2305 - BMW UVL AUC NO C it Now Enquiry - National Website|Done|12136: Sandal Huddersfield|REGION 07| #COMMENTS=I?d like to book a test drive for this car and there is a similar 1 series in grey but manual for this coming Saturday 26th. I?m interested in x1 too #Enquiry for used vehicle registration YE70XHT|BMW|X2|Sport Activity Coupe|Approved used car||16229||||||Sport Activity Coupe|X2SD|30/10/2023 00:00:00|6|MB19BGU|#01DE#01UT#05AV#0698#0853#0877#0880#08KA#08S2#08SM#08TF#08TG#09AA#P0850#S01CB#S0230#S0249#S0255#S02PA#S02TC#S02VB#S02VC#S0302#S0316#S0423#S0428#S0431#S0450#S0470#S0473#S0481#S0493#S04LU#S0507#S0534#S0544#S05A1#S05A4#S0650#S0654#S06AC#S06AE#S06AK#S06AM#S06AP#S06UN#S0760#S0812#S08R9#S08S3#|Different Dealer|N|N|N|1SMA|F40|Petrol|Petrol|F39|Y
1-1R16RZKJ|12494291|Lapsed|02/02/2023 20:03:14|02|2023|05|1|Retail|Approved Used|Central Website|Used car|Forced Closed|03/09/2023 06:12:39|BMW|4 Series|Coupe|BMW 420i M Sport Coupe|BMW 4 Series Coupe 420i M Sport||Non Finance|N||I2305 - BMW UVL AUC NO C it Now Enquiry - National Website|Done|15144: Group 1 Reading|REGION 03| #COMMENTS=I am looking to part exchange my current car, a Range Rover Evoque (which has a settelment agreement) and take another PCP deal. #Enquiry for used vehicle registration YC71UCM|BMW|1 Series|5-door Sports hatch|Approved used car||13206||||||5-door Sports hatch|1SMP|30/10/2023 00:00:00|269|RA21FZZ|#01DF#01RN#02VE#032X#032Z#04P2#05AQ#06AF#06C4#06U3#0711#0853#0877#0880#08KA#08S2#08SM#08TF#08TG#09QX#P0850#S01AG#S01CB#S0223#S0230#S0249#S02NH#S02PA#S02TB#S02VB#S02VC#S0302#S0313#S0316#S0322#S0420#S0423#S0428#S0430#S0431#S0470#S0493#S0494#S04GQ#S0534#S0544#S0563#S05A2#S05DM#S0654#S06AE#S06AK#S0710#S0715#S0754#S0760#S0775#S0812#S08R9#S08S3#|Different Dealer|N|N|N|4CMA|G22|Petrol|Petrol|F40|N
1-1SH5O5SF|6111805|Lapsed|21/10/2023 13:04:31|10|2023|42|4|Retail|Approved Used|Central Website|Used car|Sale Lost-No Further Interest|21/10/2023 12:12:00|BMW|X5|S.A.V.|X5 xDrive50e M Sport|X5 xDrive50e M Sport||Non Finance|N||I2305 - BMW UVL AUC NO C it Now Enquiry - National Website|Done|16342: Group 1 Bedford|REGION 04| #Enquiry for used vehicle registration KT23EXE|BMW|X5|S.A.V.|Approved used car||16342||||||S.A.V.|X5MC|30/10/2023 00:00:00|8|KT23EXE|#01DF#01XN#033B#03DN#03MF#044A#04T2#04T3#04V1#05AU#05AV#05DW#06AF#06C4#06NX#06PA#06U3#0853#0880#08KA#08S2#08SM#08TF#08TG#0925#S01CB#S0230#S0258#S02NH#S02PA#S02TB#S02VB#S02VR#S0302#S0322#S0323#S0337#S03MC#S0413#S0417#S0423#S0428#S0453#S0456#S04GQ#S04HA#S04HB#S04LM#S04NB#S04NM#S04T7#S04T8#S04U9#S04UR#S0552#S05AC#S05AL#S0654#S0688#S06AE#S06AK#S06U8#S0710#S0715#S0760#S0775#S07M9#S07RS#S0812#S08R9#S08S3#|Same Dealer|Y|Y|Y|X5MC|G05|Hybrid|Hybrid|G05|N
1-1SFX9EKW|1-1UCTOU8A-1|Conquest|17/10/2023 11:10:58|10|2023|42|4|Retail|Approved Used|Central Website|Used car|Sale Made|30/10/2023 11:02:06|BMW|X5|S.A.V.|G05 X5 xDrive30d M Sport B57 3.0d|BMW X5 xDrive 3.0d M Sport||Non Finance|N||I2305 - BMW UVL AUC NO C it Now Enquiry - National Website|Done|11120: John Clark Aberdeen|REGION 08| #COMMENTS=Hey, I would like to view this car tonight if possible.#Enquiry for used vehicle registration SV70UYD|BMW|X5|S.A.V.|Approved used car||11120||||||S.A.V.|G05K|30/10/2023 00:00:00|13|SV70UYD|#01CE#01XN#044A#04KK#05AQ#06AF#06C4#06DR#06U3#0853#0880#08KA#08S2#08SM#08TF#08TG#0925#09AA#09WL#S01CB#S01MA#S0230#S0258#S02NH#S02PA#S02TB#S02VB#S02VR#S0302#S0322#S0337#S03MC#S0407#S0420#S0423#S0428#S0456#S04AW#S04GQ#S04HA#S04HB#S04T8#S04UR#S05A1#S05AL#S05DN#S0610#S0654#S0688#S06AE#S06AK#S06NW#S06U8#S06WD#S0710#S0715#S0760#S0775#S07M9#S0812#S08R9#S08S3#|Same Dealer|Y|Y|Y|G05K|G05|Diesel|Diesel|G05|N
1-1SEOTDJU|1-1UASV40L-1|Conquest|12/10/2023 17:56:14|10|2023|41|4|Retail|Dealer Contact Request|DOLN|New car|Forced Closed|13/05/2024 05:34:16|BMW|||BMW|BMW||Non Finance|N||I2892 - BMW_ROLN_APPOINTMENT BOOKING_DEALER CONTACT|Done|12113: Lloyd Newcastle|REGION 06|#REASON=OTHER#CAR=OTHER#13/10/2023 13:00#IN-PERSON#COMMENT=Confirmation of appointment with Dean|BMW|X5|S.A.V.|New car||12113||||||S.A.V.|X5MA|30/10/2023 00:00:00|17|OXX982|#01CE#01DF#01PA#033B#03DN#03M2#03MF#05AV#06AF#06C4#06NX#06PA#06U3#0853#0880#08KA#08SM#08TF#08TG#08WT#0925#S01CB#S01MA#S0230#S02PA#S02TB#S02VB#S02VC#S02VF#S0302#S0322#S0337#S03MC#S0413#S0420#S0423#S0428#S0459#S0481#S0488#S0494#S04GQ#S04ML#S04T8#S04UR#S0552#S05AC#S05AL#S05AS#S05DM#S0654#S0688#S06AE#S06AK#S06U8#S0710#S0715#S0760#S0775#S07M9#S0812#S08R9#S08S3#|Same Dealer|N|N|N||||Diesel|G05|Y
1-1SGMUMYV|1-1UCTZ1Q6-1|Conquest|19/10/2023 20:46:00|10|2023|42|4|Finance|Finance Quote Request|Central Website|New car|Forced Closed|20/05/2024 05:34:53|BMW|1 Series|5-door Sports hatch|5-door Sports hatch F40|BMW 1 Series 5-door Sports Hatch||Non Finance|N||I3536 - BMW_SOCIAL MEDIA_FS SOCIAL LEAD GEN_FINANCE QUOTE REQUEST|Done|16326: Douglas Park Edinburgh|REGION 08|946d704b47f22fc7cdeeb410d541191d7b02994ed1824a7b9a58e92318e9da4b #FINANCE PRODUCT=Select#|BMW|1 Series|5-door Sports hatch|New car||16326||||||5-door Sports hatch|1STI|30/10/2023 00:00:00|10|T3LNR|#01DF#01N4#03M2#04P2#05AQ#06AF#06C4#06U3#0853#0877#0880#08KA#08S2#08SM#08TF#08TG#08WL#09QX#P0850#S01AG#S01CB#S0230#S0249#S02PA#S02TB#S02VB#S02VC#S0302#S0313#S0420#S0423#S0428#S0430#S0431#S0470#S0481#S0493#S0494#S04GQ#S0508#S0534#S0544#S0563#S05A2#S0654#S06AE#S06AK#S0704#S0715#S0754#S0760#S0775#S07M9#S0812#S08R9#S08S3#|Same Dealer|Y|N|N||F40||Petrol|F40|Y
1-1SI30WHE|1-1U7Z9F7Q-1|Conquest|25/10/2023 14:17:56|10|2023|43|4|Retail|Approved Used|Central Website|Used car|Sale Made|28/10/2023 15:14:55|BMW|4 Series|Convertible|440I Convertible|BMW 4 Series Convertible 440i M Sport||Non Finance|N||I2304 - BMW UVL AUC C it Now Enquiry - National Website|Done|15141: Dick Lovett Hungerford|REGION 01| #Enquiry for used vehicle registration CK19YKP|BMW|4 Series|Convertible|Approved used car||15141||||||Convertible|ZLQM|30/10/2023 00:00:00|4|CK19YKP|#01CA#01DE#0698#0853#0880#08KA#08S2#08SM#08TG#09AA#P0850#S01CB#S021W#S0230#S0248#S0258#S02NH#S02PA#S02TB#S02VB#S0302#S0322#S0337#S0387#S0423#S0428#S0430#S0431#S0481#S0493#S0494#S04AE#S04NE#S04NH#S04WF#S0508#S0521#S0534#S0544#S0563#S0575#S05A1#S05AC#S05DA#S0609#S0654#S0688#S06AC#S06AE#S06AK#S06AM#S06AP#S06NH#S06WA#S0704#S0710#S0715#S0760#S0812#S08R9#S08S3#|Same Dealer|Y|Y|Y|ZLQM|F33|Petrol|Petrol|F33|N
1-1SHILWAN|1-1U7Z9F7Q-1|Conquest|23/10/2023 16:59:44|10|2023|43|4|Retail|Dealer Contact Request|Central Website|Used car|Sale Lost-No Further Interest|06/11/2023 09:30:02|BMW|||BMW|BMW||Non Finance|N||I2344 - BMW UVL We Want Your BMW - National Website|Done|15144: Group 1 Reading|REGION 03| #MILEAGE=93000|BMW|4 Series|Convertible|Approved used car||15141||||||Convertible|ZLQM|30/10/2023 00:00:00|6|CK19YKP|#01CA#01DE#0698#0853#0880#08KA#08S2#08SM#08TG#09AA#P0850#S01CB#S021W#S0230#S0248#S0258#S02NH#S02PA#S02TB#S02VB#S0302#S0322#S0337#S0387#S0423#S0428#S0430#S0431#S0481#S0493#S0494#S04AE#S04NE#S04NH#S04WF#S0508#S0521#S0534#S0544#S0563#S0575#S05A1#S05AC#S05DA#S0609#S0654#S0688#S06AC#S06AE#S06AK#S06AM#S06AP#S06NH#S06WA#S0704#S0710#S0715#S0760#S0812#S08R9#S08S3#|Different Dealer|N|N|N||||Petrol|F33|N
1-1SICFOWP|5142705|Conquest|26/10/2023 11:24:48|10|2023|43|4|Retail|Dealer Contact Request|DOLN|New car|Aftersales Enquiry Resolved|26/10/2023 11:08:50|BMW|||BMW|BMW||Non Finance|N||I2892 - BMW_ROLN_APPOINTMENT BOOKING_DEALER CONTACT|Done|16348: Vertu York|REGION 07|#REASON=SET-UP#CAR=YE73WSZ#30/10/2023 11:00#IN-PERSON#COMMENT=help with setting up vehicle: Explanation of controls for new car.  #SERVICE REQUESTED=Setting up tech in my BMW#|BMW|2 Series|GT|New car||16348||||||GT|2ALA|30/10/2023 00:00:00|4|YE73WSZ|#01CE#01DF#01LT#0478#04NW#05AV#06AF#06C4#06NX#07EV#0853#0880#08KA#08SM#08TF#08TG#08WQ#09QR#09QV#09T4#P0850#S01CB#S0230#S02PA#S02TF#S02VB#S02VC#S0302#S0322#S03AT#S03MB#S0428#S0430#S0431#S0481#S0494#S04AT#S04FD#S0552#S05AC#S05DM#S0654#S06AE#S06AK#S06VB#S07S2#S0812#S08R9#|Same Dealer|N|N|Y||||Petrol|U06|N
1-1SHRWQUB|1-1UAS3BR9-1|Lapsed|24/10/2023 14:57:19|10|2023|43|4|Retail|Approved Used|Central Website|Used car|Sale Made|25/10/2023 09:20:34|BMW|3 Series|Saloon|M340i xDrive Saloon|BMW G20 M340i xDrive Saloon||Non Finance|N||I2304 - BMW UVL AUC C it Now Enquiry - National Website|Done|16282: Partridge of Hampshire Ltd|REGION 02| #COMMENTS=M340d Saloon (Nov 2021) 15k miles to part exchange#Enquiry for used vehicle registration HT23EZE|BMW|M3|Saloon|Approved used car||16282||||||Saloon|S3PC|30/10/2023 00:00:00|5|HT23EZE|#01CE#01DF#01PP#033B#03M2#03MF#0487#0491#05AQ#06AF#06C4#06NX#06U3#0853#0880#08EK#08KA#08S2#08SM#08TF#08TG#08WQ#0925#P0850#S01CB#S0230#S0248#S0258#S02PA#S02T4#S02TB#S02VB#S02VF#S02VL#S0302#S0316#S0322#S03KA#S0403#S0420#S0428#S0430#S0431#S0459#S0465#S0481#S0493#S0494#S04AW#S04GQ#S04ML#S04NE#S04UR#S0534#S0544#S0552#S05AC#S05DA#S05DC#S05DM#S0654#S0688#S06AE#S06AK#S06VB#S0710#S0715#S0754#S0760#S0775#S07M9#S0812#S08R9#S08S3#|Same Dealer|Y|Y|Y|S3PC|G20|Petrol|Petrol|G20|N
